Albania- Fixed - AMC,35527523,0.146625
Albania- Fixed - AMC,35527550,0.146625
Albania- Fixed - AMC,35527570,0.146625
Albania- Fixed - AMC,35527590,0.146625
Albania- Fixed - AMC,35527623,0.146625
Albania- Fixed - AMC,35527660,0.146625
Albania- Fixed - AMC,35527693,0.146625
Albania- Fixed - AMC,35527723,0.146625
Albania- Fixed - AMC,35527760,0.146625
Albania- Fixed - AMC,35527790,0.146625
Albania- Fixed - AMC,35527840,0.146625
Albania- Fixed - AMC,35527860,0.146625
Albania- Fixed - AMC,35527880,0.146625
Albania- Fixed - AMC,35527923,0.146625
Albania- Fixed - AMC,35527950,0.146625
Albania- Fixed - AMC,35527970,0.146625
Albania- Fixed - AMC,35527990,0.146625
Albania- Fixed - AMC,35528123,0.146625
Albania- Fixed - AMC,35528124,0.146625
Albania- Fixed - AMC,35528143,0.146625
Albania- Fixed - AMC,35528144,0.146625
Albania- Fixed - AMC,35528190,0.146625
Albania- Fixed - AMC,35528223,0.146625
Albania- Fixed - AMC,35528250,0.146625
Albania- Fixed - AMC,35528270,0.146625
Albania- Fixed - AMC,35528290,0.146625
Albania- Fixed - AMC,35528323,0.146625
Albania- Fixed - AMC,35528350,0.146625
Albania- Fixed - AMC,35528390,0.146625
Albania- Fixed - AMC,35528450,0.146625
Albania- Fixed - AMC,35528523,0.146625
Albania- Fixed - AMC,35528570,0.146625
Albania- Fixed - AMC,35528623,0.146625
Albania- Fixed - AMC,35528643,0.146625
Albania- Fixed - AMC,35528680,0.146625
Albania- Fixed - AMC,35528763,0.146625
Albania- Fixed - AMC,35528790,0.146625
Albania- Fixed - AMC,35528823,0.146625
Albania- Fixed - AMC,35528850,0.146625
Albania- Fixed - AMC,35528870,0.146625
Albania- Fixed - AMC,35528890,0.146625
Albania- Fixed - AMC,35528923,0.146625
Albania- Fixed - AMC,35528950,0.146625
Albania- Fixed - AMC,35528970,0.146625
Albania- Fixed - AMC,35528990,0.146625
Albania- Fixed - AMC,35529140,0.146625
Albania- Fixed - AMC,35529190,0.146625
Albania- Fixed - AMC,35529240,0.146625
Albania- Fixed - AMC,35529280,0.146625
Albania- Fixed - AMC,35529340,0.146625
Albania- Fixed - AMC,35529370,0.146625
Albania- Fixed - AMC,35529390,0.146625
Albania- Fixed - AMC,35529423,0.146625
Albania- Fixed - AMC,35529460,0.146625
Albania- Fixed - AMC,35529490,0.146625
Albania- Fixed - AMC,35529523,0.146625
Albania- Fixed - AMC,35529550,0.146625
Albania- Fixed - AMC,35529570,0.146625
Albania- Fixed - AMC,35529590,0.146625
Albania- Fixed - AMC,35529623,0.146625
Albania- Fixed - AMC,35529650,0.146625
Albania- Fixed - AMC,35529680,0.146625
Albania- Fixed - AMC,35529723,0.146625
Albania- Fixed - AMC,35529750,0.146625
Albania- Fixed - AMC,35529763,0.146625
Albania- Fixed - AMC,35529780,0.146625
Albania- Fixed - AMC,35531150,0.146625
Albania- Fixed - AMC,35531151,0.146625
Albania- Fixed - AMC,35531250,0.146625
Albania- Fixed - AMC,35531350,0.146625
Albania- Fixed - AMC,35531351,0.146625
Albania- Fixed - AMC,35536023,0.146625
Albania- Fixed - AMC,35536043,0.146625
Albania- Fixed - AMC,35536063,0.146625
Albania- Fixed - AMC,35536073,0.146625
Albania- Fixed - AMC,35536090,0.146625
Albania- Fixed - AMC,35536150,0.146625
Albania- Fixed - AMC,35536240,0.146625
Albania- Fixed - AMC,35536290,0.146625
Albania- Fixed - AMC,35536340,0.146625
Albania- Fixed - AMC,35536380,0.146625
Albania- Fixed - AMC,35536440,0.146625
Albania- Fixed - AMC,35536480,0.146625
Albania- Fixed - AMC,35536540,0.146625
Albania- Fixed - AMC,35536580,0.146625
Albania- Fixed - AMC,35536640,0.146625
Albania- Fixed - AMC,35536670,0.146625
Albania- Fixed - AMC,35536740,0.146625
Albania- Fixed - AMC,35536770,0.146625
Albania- Fixed - AMC,35536840,0.146625
Albania- Fixed - AMC,35536890,0.146625
Albania- Fixed - AMC,35536923,0.146625
Albania- Fixed - AMC,35536993,0.146625
Albania- Fixed - AMC,35537140,0.146625
Albania- Fixed - AMC,35537141,0.146625
Albania- Fixed - AMC,35537223,0.146625
Albania- Fixed - AMC,35537263,0.146625
Albania- Fixed - AMC,35537283,0.146625
Albania- Fixed - AMC,35537293,0.146625
Albania- Fixed - AMC,35537340,0.146625
Albania- Fixed - AMC,35537370,0.146625
Albania- Fixed - AMC,35537393,0.146625
Albania- Fixed - AMC,35537450,0.146625
Albania- Fixed - AMC,35537490,0.146625
Albania- Fixed - AMC,35537494,0.146625
Albania- Fixed - AMC,35537523,0.146625
Albania- Fixed - AMC,35537563,0.146625
Albania- Fixed - AMC,35537590,0.146625
Albania- Fixed - AMC,35537623,0.146625
Albania- Fixed - AMC,35537680,0.146625
Albania- Fixed - AMC,35537740,0.146625
Albania- Fixed - AMC,35537773,0.146625
Albania- Fixed - AMC,35537790,0.146625
Albania- Fixed - AMC,35537823,0.146625
Albania- Fixed - AMC,35537843,0.146625
Albania- Fixed - AMC,35537853,0.146625
Albania- Fixed - AMC,35537870,0.146625
Albania- Fixed - AMC,35537890,0.146625
Albania- Fixed - AMC,35538150,0.146625
Albania- Fixed - AMC,35538151,0.146625
Albania- Fixed - AMC,35538152,0.146625
Albania- Fixed - AMC,35538240,0.146625
Albania- Fixed - AMC,35538241,0.146625
Albania- Fixed - AMC,35538350,0.146625
Albania- Fixed - AMC,35538423,0.146625
Albania- Fixed - AMC,35538470,0.146625
Albania- Fixed - AMC,35538523,0.146625
Albania- Fixed - AMC,35538593,0.146625
Albania- Fixed - AMC,35538623,0.146625
Albania- Fixed - AMC,35538650,0.146625
Albania- Fixed - AMC,35538680,0.146625
Albania- Fixed - AMC,35538693,0.146625
Albania- Fixed - AMC,35538725,0.146625
Albania- Fixed - AMC,35538790,0.146625
Albania- Fixed - AMC,35538850,0.146625
Albania- Fixed - AMC,35538923,0.146625
Albania- Fixed - AMC,35538940,0.146625
Albania- Fixed - AMC,35538980,0.146625
Albania- Fixed - AMC,35539150,0.146625
Albania- Fixed - AMC,35539151,0.146625
Albania- Fixed - AMC,35539240,0.146625
Albania- Fixed - AMC,35539241,0.146625
Albania- Fixed - AMC,35539360,0.146625
Albania- Fixed - AMC,35539361,0.146625
Albania- Fixed - AMC,35539450,0.146625
Albania- Fixed - AMC,35539560,0.146625
Albania- Fixed - AMC,35539640,0.146625
Albania- Fixed - AMC,35539690,0.146625
Albania- Fixed - AMC,35539740,0.146625
Albania- Fixed - AMC,35539790,0.146625
Albania- Fixed - AMC,35539823,0.146625
Albania- Fixed - AMC,35539850,0.146625
Albania- Fixed - AMC,35539880,0.146625
Albania- Fixed - AMC,35547210,0.146625
Albania- Fixed - AMC,35547425,0.146625
Albania- Fixed - AMC,35547550,0.146625
Albania- Fixed - AMC,35547700,0.146625
Albania- Fixed - AMC,35547870,0.146625
Albania- Fixed - AMC,35547950,0.146625
Albania- Fixed - AMC,35548270,0.146625
Albania- Fixed - AMC,35548271,0.146625
Albania- Fixed - AMC,35548272,0.146625
Albania- Fixed - AMC,35548570,0.146625
Albania- Fixed - AMC,35548660,0.146625
Albania- Fixed - AMC,35548750,0.146625
Albania- Fixed - AMC,35548855,0.146625
Albania- Fixed - AMC,35548935,0.146625
Albania- Fixed - AMC,35548936,0.146625
Albania- Fixed - AMC,35549250,0.146625
Albania- Fixed - AMC,35549440,0.146625
Albania- Fixed - AMC,35549560,0.146625
Albania- Fixed - AMC,35549730,0.146625
Albania- Fixed - AMC,35549830,0.146625
Albania- Fixed - AMC,35549930,0.146625
Albania- Fixed - AMC,35551240,0.146625
Albania- Fixed - AMC,35551241,0.146625
Albania- Fixed - AMC,35551360,0.146625
Albania- Fixed - AMC,35551361,0.146625
Albania- Fixed - AMC,35551460,0.146625
Albania- Fixed - AMC,35551461,0.146625
Albania- Fixed - AMC,35556150,0.146625
Albania- Fixed - AMC,35556240,0.146625
Albania- Fixed - AMC,35556293,0.146625
Albania- Fixed - AMC,35556340,0.146625
Albania- Fixed - AMC,35556445,0.146625
Albania- Fixed - AMC,35556465,0.146625
Albania- Fixed - AMC,35556550,0.146625
Albania- Fixed - AMC,35556583,0.146625
Albania- Fixed - AMC,35557043,0.146625
Albania- Fixed - AMC,35557070,0.146625
Albania- Fixed - AMC,35557094,0.146625
Albania- Fixed - AMC,35557180,0.146625
Albania- Fixed - AMC,35557260,0.146625
Albania- Fixed - AMC,35557390,0.146625
Albania- Fixed - AMC,35557463,0.146625
Albania- Fixed - AMC,35557464,0.146625
Albania- Fixed - AMC,35557494,0.146625
Albania- Fixed - AMC,35557543,0.146625
Albania- Fixed - AMC,35557544,0.146625
Albania- Fixed - AMC,35557584,0.146625
Albania- Fixed - AMC,35557643,0.146625
Albania- Fixed - AMC,35557644,0.146625
Albania- Fixed - AMC,35557683,0.146625
Albania- Fixed - AMC,35557770,0.146625
Albania- Fixed - AMC,35557771,0.146625
Albania- Fixed - AMC,35557843,0.146625
Albania- Fixed - AMC,35557865,0.146625
Albania- Fixed - AMC,35557943,0.146625
Albania- Fixed - AMC,35557963,0.146625
Albania- Fixed - AMC,35557993,0.146625
Albania- Fixed - AMC,35558023,0.146625
Albania- Fixed - AMC,35558073,0.146625
Albania- Fixed - AMC,35558150,0.146625
Albania- Fixed - AMC,35558151,0.146625
Albania- Fixed - AMC,35558250,0.146625
Albania- Fixed - AMC,35558323,0.146625
Albania- Fixed - AMC,35558373,0.146625
Albania- Fixed - AMC,35558424,0.146625
Albania- Fixed - AMC,35558460,0.146625
Albania- Fixed - AMC,35558484,0.146625
Albania- Fixed - AMC,35558494,0.146625
Albania- Fixed - AMC,35558540,0.146625
Albania- Fixed - AMC,35558564,0.146625
Albania- Fixed - AMC,35558580,0.146625
Albania- Fixed - AMC,35558594,0.146625
Albania- Fixed - AMC,35558624,0.146625
Albania- Fixed - AMC,35558670,0.146625
Albania- Fixed - AMC,35558693,0.146625
Albania- Fixed - AMC,35558724,0.146625
Albania- Fixed - AMC,35558764,0.146625
Albania- Fixed - AMC,35558790,0.146625
Albania- Fixed - AMC,35558824,0.146625
Albania- Fixed - AMC,35558842,0.146625
Albania- Fixed - AMC,35558852,0.146625
Albania- Fixed - AMC,35558882,0.146625
Albania- Fixed - AMC,35558924,0.146625
Albania- Fixed - AMC,35558953,0.146625
Albania- Fixed - AMC,35558983,0.146625
Albania- Fixed - AMC,35559150,0.146625
Albania- Fixed - AMC,35559240,0.146625
Albania- Fixed - AMC,35559324,0.146625
Albania- Fixed - AMC,35559360,0.146625
Albania- Fixed - AMC,35559394,0.146625
Albania- Fixed - AMC,35559424,0.146625
Albania- Fixed - AMC,35559462,0.146625
Albania- Fixed - AMC,35559492,0.146625
Albania- Fixed - AMC,35559540,0.146625
Albania- Fixed - AMC,35559572,0.146625
Albania- Fixed - AMC,35559622,0.146625
Albania- Fixed - AMC,35559664,0.146625
Albania- Fixed - AMC,35559674,0.146625
Albania- Fixed - AMC,35559684,0.146625
Albania- Fixed - AMC,35559694,0.146625
Albania- Fixed - AMC,35559722,0.146625
Albania- Fixed - AMC,35559754,0.146625
Albania- Fixed - AMC,35559770,0.146625
Albania- Fixed - AMC,35559794,0.146625
Albania- Fixed - AMC,35572780,0.146625
Albania- Fixed - AMC,35581140,0.146625
Albania- Fixed - AMC,35581141,0.146625
Albania- Fixed - AMC,35581240,0.146625
Albania- Fixed - AMC,35581241,0.146625
Albania- Fixed - AMC,35581340,0.146625
Albania- Fixed - AMC,35581341,0.146625
Albania- Fixed - AMC,35581450,0.146625
Albania- Fixed - AMC,35581451,0.146625
Albania- Fixed - AMC,35581540,0.146625
Albania- Fixed - AMC,35586022,0.146625
Albania- Fixed - AMC,35586070,0.146625
Albania- Fixed - AMC,35586082,0.146625
Albania- Fixed - AMC,35586150,0.146625
Albania- Fixed - AMC,35586260,0.146625
Albania- Fixed - AMC,35586344,0.146625
Albania- Fixed - AMC,35586372,0.146625
Albania- Fixed - AMC,35586424,0.146625
Albania- Fixed - AMC,35586462,0.146625
Albania- Fixed - AMC,35586472,0.146625
Albania- Fixed - AMC,35586494,0.146625
Albania- Fixed - AMC,35586524,0.146625
Albania- Fixed - AMC,35586572,0.146625
Albania- Fixed - AMC,35586582,0.146625
Albania- Fixed - AMC,35586622,0.146625
Albania- Fixed - AMC,35586672,0.146625
Albania- Fixed - AMC,35586750,0.146625
Albania- Fixed - AMC,35586796,0.146625
Albania- Fixed - AMC,35586850,0.146625
Albania- Fixed - AMC,35586892,0.146625
Albania- Fixed - AMC,35586922,0.146625
Albania- Fixed - AMC,35586972,0.146625
Albania- Fixed - AMC,35587150,0.146625
Albania- Fixed - AMC,35587151,0.146625
Albania- Fixed - AMC,35587174,0.146625
Albania- Fixed - AMC,35587184,0.146625
Albania- Fixed - AMC,35587194,0.146625
Albania- Fixed - AMC,35587224,0.146625
Albania- Fixed - AMC,35587270,0.146625
Albania- Fixed - AMC,35587294,0.146625
Albania- Fixed - AMC,35587322,0.146625
Albania- Fixed - AMC,35587392,0.146625
Albania- Fixed - AMC,35587442,0.146625
Albania- Fixed - AMC,35587482,0.146625
Albania- Fixed - AMC,35587540,0.146625
Albania- Fixed - AMC,35587622,0.146625
Albania- Fixed - AMC,35587652,0.146625
Albania- Fixed - AMC,35587672,0.146625
Albania- Fixed - AMC,35587692,0.146625
Albania- Fixed - AMC,35587722,0.146625
Albania- Fixed - AMC,35587760,0.146625
Albania- Fixed - AMC,35587790,0.146625
Albania- Fixed - AMC,35588140,0.146625
Albania- Fixed - AMC,35588194,0.146625
Albania- Fixed - AMC,35588222,0.146625
Albania- Fixed - AMC,35588262,0.146625
Albania- Fixed - AMC,35588274,0.146625
Albania- Fixed - AMC,35588294,0.146625
Albania- Fixed - AMC,35588324,0.146625
Albania- Fixed - AMC,35588364,0.146625
Albania- Fixed - AMC,35588372,0.146625
Albania- Fixed - AMC,35588392,0.146625
Albania- Fixed - AMC,35588440,0.146625
Albania- Fixed - AMC,35588480,0.146625
Albania- Fixed - AMC,35588540,0.146625
Albania- Fixed - AMC,35588590,0.146625
Albania- Fixed - AMC,35588640,0.146625
Albania- Fixed - AMC,35588682,0.146625
Albania- Fixed - AMC,35588692,0.146625
Albania- Fixed - AMC,35588722,0.146625
Albania- Fixed - AMC,35588750,0.146625
Albania- Fixed - AMC,35588770,0.146625
Albania- Fixed - AMC,35588790,0.146625
Albania- Fixed - AMC,35589140,0.146625
Albania- Fixed - AMC,35589164,0.146625
Albania- Fixed - AMC,35589192,0.146625
Albania- Fixed - AMC,35589224,0.146625
Albania- Fixed - AMC,35589280,0.146625
Albania- Fixed - AMC,35589324,0.146625
Albania- Fixed - AMC,35589422,0.146625
Albania- Fixed - AMC,35589480,0.146625
Albania- Fixed - AMC,35589524,0.146625
Albania- Fixed - AMC,35589562,0.146625
Albania- Fixed - AMC,35589590,0.151225
Albania- Fixed - Other,355,0.1679
Albania- Fixed - Special Services,3554249,0.1679
Albania- Fixed - Special Services,3554250,0.1679
Albania- Fixed - Special Services,3554251,0.1679
Albania- Fixed - Special Services,3554252,0.14835
Albania- Fixed - Tirana,355422,0.14835
Albania- Fixed - Tirana,355423,0.14835
Albania- Fixed - Tirana,355424,0.373175
Albania- Mobile - AMC,35568,0.384675
Albania- Mobile - Eagle,35567,0.42435
Albania- Mobile - Plus,35566,0.368
Albania- Mobile - Vodafone,35569,0.0483
Algeria- Fixed - Other,213,0.84525
Algeria- Mobile - Mobilis,2136,0.7015
Algeria- Mobile - Orascom,21377,0.7015
Algeria- Mobile - Orascom,21378,0.7015
Algeria- Mobile - Orascom,21379,0.828
Algeria- Mobile - Other Carriers,2137,0.82225
Algeria- Mobile - Wataniya,2135,0.207
American Samoa- All Country,1684,0.031625
Andorra- Fixed - Other,376,0.204125
Andorra- Mobile - Other Carriers,3763,0.204125
Andorra- Mobile - Other Carriers,3764,0.204125
Andorra- Mobile - Other Carriers,3765,0.204125
Andorra- Mobile - Other Carriers,3766,0.36225
Angola- Fixed - Other,244,0.36225
Angola- Mobile - Movicel,24491,0.36225
Angola- Mobile - Movicel,24499,0.36225
Angola- Mobile - Other,2449,0.35075
Angola- Mobile - Unitel,24492,0.35075
Angola- Mobile - Unitel,24493,0.35075
Angola- Mobile - Unitel,24494,0.2185
Anguilla- Fixed - Other,1264,0.2185
Anguilla- Mobile - Digicel,1264581,0.2185
Anguilla- Mobile - Digicel,1264582,0.2185
Anguilla- Mobile - Digicel,1264583,0.2185
Anguilla- Mobile - Digicel,1264584,0.198375
Anguilla- Mobile - Other Carriers,1264536,0.198375
Anguilla- Mobile - Other Carriers,1264537,0.198375
Anguilla- Mobile - Other Carriers,1264538,0.198375
Anguilla- Mobile - Other Carriers,1264539,0.198375
Anguilla- Mobile - Other Carriers,1264543,0.24725
Anguilla-Mobile - C & W,1264235,0.24725
Anguilla-Mobile - C & W,1264469,0.24725
Anguilla-Mobile - C & W,1264476,0.24725
Anguilla-Mobile - C & W,1264729,0.24725
Anguilla-Mobile - C & W,1264772,3.45
Antarctica- All Country,6721,0.21965
Antigua & Barbuda- Fixed - Other,1268,0.22425
Antigua & Barbuda- Mobile - C & W,1268464,0.22425
Antigua & Barbuda- Mobile - C & W,1268723,0.22425
Antigua & Barbuda- Mobile - C & W,1268728,0.22425
Antigua & Barbuda- Mobile - C & W,1268762,0.22425
Antigua & Barbuda- Mobile - C & W,1268764,0.22425
Antigua & Barbuda- Mobile - C & W,1268770,0.22425
Antigua & Barbuda- Mobile - C & W,1268771,0.22425
Antigua & Barbuda- Mobile - C & W,1268772,0.22425
Antigua & Barbuda- Mobile - C & W,1268776,0.22425
Antigua & Barbuda- Mobile - C & W,1268778,0.22425
Antigua & Barbuda- Mobile - C & W,1268779,0.22425
Antigua & Barbuda- Mobile - C & W,1268782,0.22425
Antigua & Barbuda- Mobile - C & W,1268784,0.22425
Antigua & Barbuda- Mobile - C & W,1268786,0.22425
Antigua & Barbuda- Mobile - C & W,1268787,0.22425
Antigua & Barbuda- Mobile - C & W,1268789,0.2185
Antigua & Barbuda- Mobile - Digicel,1268716,0.2185
Antigua & Barbuda- Mobile - Digicel,1268717,0.2185
Antigua & Barbuda- Mobile - Digicel,1268718,0.2185
Antigua & Barbuda- Mobile - Digicel,1268719,0.2185
Antigua & Barbuda- Mobile - Digicel,1268720,0.2185
Antigua & Barbuda- Mobile - Digicel,1268721,0.2185
Antigua & Barbuda- Mobile - Digicel,1268722,0.2185
Antigua & Barbuda- Mobile - Digicel,1268724,0.2185
Antigua & Barbuda- Mobile - Digicel,1268725,0.2185
Antigua & Barbuda- Mobile - Digicel,1268726,0.2185
Antigua & Barbuda- Mobile - Digicel,1268732,0.2185
Antigua & Barbuda- Mobile - Digicel,1268734,0.2185
Antigua & Barbuda- Mobile - Digicel,1268736,0.2185
Antigua & Barbuda- Mobile - Digicel,1268783,0.2185
Antigua & Barbuda- Mobile - Digicel,1268785,0.2185
Antigua & Barbuda- Mobile - Digicel,1268788,0.22425
Antigua & Barbuda- Mobile - Other Carriers,1268727,0.22425
Antigua & Barbuda- Mobile - Other Carriers,1268729,0.22425
Antigua & Barbuda- Mobile - Other Carriers,1268773,0.22425
Antigua & Barbuda- Mobile - Other Carriers,1268774,0.22425
Antigua & Barbuda- Mobile - Other Carriers,1268775,0.22425
Antigua & Barbuda- Mobile - Other Carriers,1268780,0.22425
Antigua & Barbuda- Mobile - Other Carriers,1268781,0.0115
Argentina- Fixed - Bahia Blanca,54291,0.0115
Argentina- Fixed - Buenos Aires,5411,0.0115
Argentina- Fixed - Cordoba,54351,0.125925
Argentina- Fixed - Corredores,54230,0.125925
Argentina- Fixed - Corredores,54232,0.125925
Argentina- Fixed - Corredores,54236,0.125925
Argentina- Fixed - Corredores,54237,0.125925
Argentina- Fixed - Corredores,54249,0.125925
Argentina- Fixed - Corredores,54264,0.125925
Argentina- Fixed - Corredores,54299,0.125925
Argentina- Fixed - Corredores,54332,0.125925
Argentina- Fixed - Corredores,54336,0.125925
Argentina- Fixed - Corredores,54343,0.125925
Argentina- Fixed - Corredores,54348,0.125925
Argentina- Fixed - Corredores,54353,0.125925
Argentina- Fixed - Corredores,54358,0.125925
Argentina- Fixed - Corredores,54362,0.125925
Argentina- Fixed - Corredores,54372,0.125925
Argentina- Fixed - Corredores,54379,0.125925
Argentina- Fixed - Corredores,54381,0.125925
Argentina- Fixed - Corredores,54387,0.125925
Argentina- Fixed - Corredores,542293,0.125925
Argentina- Fixed - Corredores,543461,0.125925
Argentina- Fixed - Corredores,543462,0.125925
Argentina- Fixed - Corredores,543464,0.125925
Argentina- Fixed - Corredores,543476,0.125925
Argentina- Fixed - Corredores,543541,0.125925
Argentina- Fixed - Corredores,543543,0.125925
Argentina- Fixed - Corredores,543571,0.125925
Argentina- Fixed - Corredores,543783,0.125925
Argentina- Fixed - Corredores,543874,0.0115
Argentina- Fixed - La Plata,54221,0.0115
Argentina- Fixed - Mar Del Plata,54223,0.0115
Argentina- Fixed - Mendoza,54261,0.125925
Argentina- Fixed - Other,54,0.0115
Argentina- Fixed - Rosario,54341,0.0115
Argentina- Fixed - Santa Fe,54342,0.1472
Argentina- Mobile - Other Carriers,549,0.14375
Armenia- Fixed - Nagorny Karabakh,37447,0.14375
Armenia- Fixed - Nagorny Karabakh,37497,0.167325
Armenia- Fixed - Other,374,0.167325
Armenia- Fixed - Yerevan,37410,0.21735
Armenia- Mobile - Armentel,37443,0.21735
Armenia- Mobile - Armentel,37491,0.21735
Armenia- Mobile - Armentel,37496,0.21735
Armenia- Mobile - Armentel,37499,0.2875
Armenia- Mobile - Other Carriers,3745,0.2875
Armenia- Mobile - Other Carriers,3749,0.2875
Armenia- Mobile - Other Carriers,37460,0.21735
Armenia- Mobile - UCOM,37441,0.21735
Armenia- Mobile - UCOM,37444,0.21735
Armenia- Mobile - UCOM,37455,0.21735
Armenia- Mobile - UCOM,37495,0.21735
Armenia- Mobile - Vivacell,37449,0.21735
Armenia- Mobile - Vivacell,37477,0.21735
Armenia- Mobile - Vivacell,37493,0.21735
Armenia- Mobile - Vivacell,37494,0.21735
Armenia- Mobile - Vivacell,37498,0.08625
Aruba- Fixed - Other,297,0.192625
Aruba- Mobile - Digicel,29763,0.192625
Aruba- Mobile - Digicel,29764,0.192625
Aruba- Mobile - Digicel,29773,0.192625
Aruba- Mobile - Digicel,29774,0.192625
Aruba- Mobile - Digicel,297630,0.192625
Aruba- Mobile - Digicel,297640,0.192625
Aruba- Mobile - Digicel,297641,0.1955
Aruba- Mobile - Mio,297600,0.1955
Aruba- Mobile - Mio,297622,0.1955
Aruba- Mobile - Setar,29756,0.1955
Aruba- Mobile - Setar,29759,0.1955
Aruba- Mobile - Setar,29766,0.1955
Aruba- Mobile - Setar,29769,0.1955
Aruba- Mobile - Setar,29796,0.1955
Aruba- Mobile - Setar,29799,1.61
Ascension Island- All Country,247,0.00805
Australia- Fixed - Adelaide,61870,0.00805
Australia- Fixed - Adelaide,61871,0.00805
Australia- Fixed - Adelaide,61872,0.00805
Australia- Fixed - Adelaide,61873,0.00805
Australia- Fixed - Adelaide,61874,0.00805
Australia- Fixed - Adelaide,61881,0.00805
Australia- Fixed - Adelaide,61882,0.00805
Australia- Fixed - Adelaide,61883,0.00805
Australia- Fixed - Adelaide,61884,0.00805
Australia- Fixed - Brisbane,6173,0.00805
Australia- Fixed - Canberra,61261,0.00805
Australia- Fixed - Canberra,61262,0.0138
Australia- Fixed - Domestic Freeph,6115,0.0138
Australia- Fixed - Domestic Freeph,6116,0.0138
Australia- Fixed - Domestic Freeph,6117,0.0138
Australia- Fixed - Domestic Freeph,6118,0.0138
Australia- Fixed - Domestic Freeph,6119,0.00805
Australia- Fixed - Hobart,61362,0.00805
Australia- Fixed - Melbourne,6138,0.00805
Australia- Fixed - Melbourne,6139,0.00805
Australia- Fixed - Other,61,0.00805
Australia- Fixed - Perth,61860,0.00805
Australia- Fixed - Perth,61861,0.00805
